latitude,longitude,location,main_road
43.6652490057816,-79.4111399990104,BATHURST ST & BLOOR ST W,BATHURST ST
43.6598799965626,-79.4355479996379,DUFFERIN ST & BLOOR ST W,DUFFERIN ST
43.6597160035126,-79.4353770017794,DUFFERIN ST & BLOOR ST W,DUFFERIN ST
43.6493660069066,-79.4846289952344,JANE ST & BLOOR ST W,JANE ST
43.6448790001407,-79.5233280045658,ISLINGTON AVE & BLOOR ST W,ISLINGTON AVE
43.6446100045888,-79.5231440028625,ISLINGTON AVE & BLOOR ST W,ISLINGTON AVE
43.7324710045906,-79.2678819948369,EGLINTON AVE E & KENNEDY RD,EGLINTON AVE E
43.7302420003532,-79.277795002138,EGLINTON AVE E & BIRCHMOUNT RD,EGLINTON AVE E
43.7280860005301,-79.2875389999037,EGLINTON AVE E & WARDEN AVE,EGLINTON AVE E
43.7244920033997,-79.3024439978437,EGLINTON AVE E & VICTORIA PARK AVE,EGLINTON AVE E
43.7260280018744,-79.3180430035379,EGLINTON AVE E & SWIFT DR / CREDIT UNION DR,EGLINTON AVE E
43.7208109976411,-79.3387390066082,EGLINTON AVE E & DON MILLS RD,EGLINTON AVE E
43.7170209981414,-79.3498500032005,EGLINTON AVE E & LESLIE ST,EGLINTON AVE E
43.7134040022021,-79.3645460003598,EGLINTON AVE E & LAIRD DR,EGLINTON AVE E
43.7109130071588,-79.3772879910129,EGLINTON AVE E & BAYVIEW AVE,EGLINTON AVE E
43.7068919955001,-79.398213000935,EGLINTON AVE & YONGE ST,EGLINTON AVE
43.7046659985769,-79.4087110022009,EGLINTON AVE W & AVENUE RD,EGLINTON AVE W
43.7009480055114,-79.4253439972009,EGLINTON AVE W & BATHURST ST,EGLINTON AVE W
43.6930680060188,-79.4624080003997,EGLINTON AVE W & CALEDONIA RD,EGLINTON AVE W
43.6900060022174,-79.4752209994858,EGLINTON AVE W & KEELE ST / TRETHEWEY DR,EGLINTON AVE W
43.6885440034765,-79.4831350052679,EGLINTON AVE W & BLACK CREEK DR,EGLINTON AVE W
43.6842040033526,-79.4989159949939,EGLINTON AVE W & JANE ST,EGLINTON AVE W
43.6958050008943,-79.4502279981644,EGLINTON AVE W & DUFFERIN ST,EGLINTON AVE W
43.7894189950797,-79.1942110001791,MORNINGSIDE AVE & MILITARY TRL,MORNINGSIDE AVE
43.7719060064778,-79.5139339934346,SHOREHAM DR & MURRAY ROSS PKWY / PRIVATE ACCESS,SHOREHAM DR
43.7949909985672,-79.1967299997816,MORNINGSIDE AVE & 401 C E MORNINGSIDE AVE S RAMP,MORNINGSIDE AVE
43.783978004121,-79.234555998716,MARKHAM RD & 401 C E MARKHAM RD N RAMP,MARKHAM RD
43.7937290047327,-79.2384229993136,SHEPPARD AVE E & MARKHAM RD,SHEPPARD AVE E
43.7796570024561,-79.2544679999271,MCCOWAN RD & 401 C E MCCOWAN RD RAMP / CONSILIUM PL,MCCOWAN RD
43.7896790003277,-79.2591450120824,SHEPPARD AVE E & MCCOWAN RD,SHEPPARD AVE E
43.766104005034,-79.2809629978933,KENNEDY RD & ELLESMERE RD,KENNEDY RD
43.7734519937101,-79.2836619890225,KENNEDY RD & 401 C E KENNEDY RD RAMP / WILLIAM KITCHEN RD,KENNEDY RD
43.7830319998714,-79.2883560033881,SHEPPARD AVE E & KENNEDY RD,SHEPPARD AVE E
43.7609590035503,-79.3009649950828,WARDEN AVE & ELLESMERE RD,WARDEN AVE
43.7786230021431,-79.3076219920703,SHEPPARD AVE E & WARDEN AVE,SHEPPARD AVE E
43.7423389963657,-79.309694999576,VICTORIA PARK AVE & LAWRENCE AVE E,VICTORIA PARK AVE
43.7576990053109,-79.315195998326,VICTORIA PARK AVE & PARKWOODS VILLAGE DR / ELLESMERE RD,VICTORIA PARK AVE
43.7751900035335,-79.3226929999082,SHEPPARD AVE E & VICTORIA PARK AVE,SHEPPARD AVE E
43.7930610055449,-79.3310820007673,VICTORIA PARK AVE & FINCH AVE E,VICTORIA PARK AVE
